"Линия","Код станции[1]","Название станции
Прежние названия","Дата
открытия","Пере-
садки","Глубина,
м[2]","Тип конструкции","Координаты","Вид станции"
"","061","«Кунцевская»","31 августа 1965","","0","наземная, открытая","55°43′51″ с. ш. 37°26′45″ в. д.HЯ",""
"","062","«Пионерская»","13 октября 1961","","0","наземная, открытая","55°44′10″ с. ш. 37°28′02″ в. д.HЯ",""
"","063","«Филёвский парк»","13 октября 1961","","0","наземная, открытая","55°44′23″ с. ш. 37°29′00″ в. д.HЯ",""
"","064","«Багратионовская»","13 октября 1961","","0","наземная, открытая","55°44′38″ с. ш. 37°29′52″ в. д.HЯ",""
"","065","«Фили»","7 ноября 1959","","0","наземная, открытая","55°44′46″ с. ш. 37°30′54″ в. д.HЯ",""
"","066","«Кутузовская»","7 ноября 1958","","0","наземная, открытая","55°44′24″ с. ш. 37°32′04″ в. д.HЯ",""
"","067","«Студенческая»","7 ноября 1958","","0","наземная, открытая","55°44′20″ с. ш. 37°32′54″ в. д.HЯ",""
"","073","«Москва-Сити»
Международная (с 30.08.2006 до 03.04.2024)","30 августа 2006","","−25","колонно-стеновая
мелкого заложения
трёхсводчатая","55°44′54″ с. ш. 37°32′02″ в. д.HЯ",""
"","072","«Деловой центр»
Выставочная (с 01.06.2009 до 03.04.2024)","10 сентября 2005","","−25","колонная
мелкого заложения
трёхпролётная","55°45′00″ с. ш. 37°32′28″ в. д.HЯ",""
"","068","«Киевская»","20 марта 1937","","−8,7
[нет в источнике]","колонная
мелкого заложения
трёхпролётная","55°44′37″ с. ш. 37°33′56″ в. д.HЯ",""
"","069","«Смоленская»","15 мая 1935","","−8","колонная
мелкого заложения
трёхпролётная","55°44′56″ с. ш. 37°34′57″ в. д.HЯ",""
"","070","«Арбатская»","15 мая 1935","","−8","колонная
мелкого заложения
трёхпролётная","55°45′06″ с. ш. 37°36′03″ в. д.HЯ",""
"","071","«Александровский сад»
Улица Коминтерна (с 15.05.1935 до 24.12.1946)
Калининская (с 24.12.1946 до ноября 1990)
Воздвиженка (с ноября 1990 до 05.11.1990)","15 мая 1935","[7]","−7","колонная
мелкого заложения
четырёхпролётная","55°45′09″ с. ш. 37°36′32″ в. д.HЯ",""
"","074","«Парк культуры»
ЦПКиО имени Горького
(с 01.01.1950 до 1965)
Парк культуры имени Горького
(с 1965 до 1980)","1 января 1950","","−40","пилонная
глубокого заложения
трёхсводчатая","55°44′09″ с. ш. 37°35′29″ в. д.HЯ",""
"","075","«Октябрьская»
Калужская (с 01.01.1950 до 06.06.1961)","1 января 1950","","−40","пилонная
глубокого заложения
трёхсводчатая","55°43′47″ с. ш. 37°36′33″ в. д.HЯ",""
"","076","«Добрынинская»
Серпуховская (с 01.01.1950 до 06.06.1961)","1 января 1950","","−35,5
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая","55°43′45″ с. ш. 37°37′27″ в. д.HЯ",""
"","077","«Павелецкая»","1 января 1950","","−40","пилонная
глубокого заложения
трёхсводчатая","55°43′54″ с. ш. 37°38′16″ в. д.HЯ",""
"","078","«Таганская»","1 января 1950","","−53","пилонная
глубокого заложения
трёхсводчатая","55°44′30″ с. ш. 37°39′06″ в. д.HЯ",""
"","079","«Курская»","1 января 1950","","−40","колонная
глубокого заложения
трёхсводчатая","55°45′25″ с. ш. 37°39′34″ в. д.HЯ",""
"","080","«Комсомольская»","30 января 1952","","−37","колонная
глубокого заложения
трёхсводчатая","55°46′29″ с. ш. 37°39′18″ в. д.HЯ",""
"","081","«Проспект Мира»
Ботанический сад (с 30.01.1952 до 26.10.1966)","30 января 1952","","−40","пилонная
глубокого заложения
трёхсводчатая","55°46′47″ с. ш. 37°37′54″ в. д.HЯ",""
"","082","«Новослободская»","30 января 1952","","−40","пилонная
глубокого заложения
трёхсводчатая","55°46′48″ с. ш. 37°36′10″ в. д.HЯ",""
"","083","«Белорусская»","30 января 1952","","−42,5
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая","55°46′35″ с. ш. 37°35′04″ в. д.HЯ",""
"","084","«Краснопресненская»","14 марта 1954","","−35,5
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая","55°45′41″ с. ш. 37°34′39″ в. д.HЯ",""
"","085","«Киевская»","14 марта 1954","","−53 [8]","пилонная
глубокого заложения
трёхсводчатая","55°44′41″ с. ш. 37°33′56″ в. д.HЯ",""
"","086","«Медведково»","29 сентября 1978","","−10","колонная
мелкого заложения
трёхпролётная","55°53′14″ с. ш. 37°39′41″ в. д.HЯ",""
"","087","«Бабушкинская»","29 сентября 1978","","−10","односводчатая
мелкого заложения","55°52′10″ с. ш. 37°39′52″ в. д.HЯ",""
"","088","«Свиблово»","29 сентября 1978","","−8","колонная
мелкого заложения
трёхпролётная","55°51′19″ с. ш. 37°39′10″ в. д.HЯ",""
"","089","«Ботанический сад»","29 сентября 1978","","−7","колонная
мелкого заложения
трёхпролётная","55°50′42″ с. ш. 37°38′18″ в. д.HЯ",""
"","090","«ВДНХ»
ВСХВ (с 01.05.1958 до 12.12.1959)","1 мая 1958","","−53,5","пилонная
глубокого заложения
трёхсводчатая","55°49′16″ с. ш. 37°38′28″ в. д.HЯ",""
"","091","«Алексеевская»
Мир (с 01.05.1958 до 20.06.1966)
Щербаковская (с 20.06.1966 до 05.11.1990)","1 мая 1958","","−51","пилонная
глубокого заложения
трёхсводчатая","55°48′32″ с. ш. 37°38′20″ в. д.HЯ",""
"","092","«Рижская»","1 мая 1958","","−46","пилонная
глубокого заложения
трёхсводчатая","55°47′37″ с. ш. 37°38′10″ в. д.HЯ",""
"","093","«Проспект Мира»
Ботанический сад (с 01.05.1958 до 26.10.1966)","1 мая 1958","","−50","пилонная
глубокого заложения
трёхсводчатая","55°46′52″ с. ш. 37°37′54″ в. д.HЯ",""
"","094","«Сухаревская»
Колхозная (с 05.01.1972 до 05.11.1990)","5 января 1972","","−43","пилонная
глубокого заложения
трёхсводчатая","55°46′24″ с. ш. 37°37′55″ в. д.HЯ",""
"","095","«Тургеневская»","5 января 1972","","−49","пилонная
глубокого заложения
трёхсводчатая","55°45′58″ с. ш. 37°38′15″ в. д.HЯ",""
"","096","«Китай-город»
Площадь Ногина (с 03.01.1971 до 05.11.1990)","3 января 1971","","−29","колонная
глубокого заложения
трёхсводчатая","55°45′19″ с. ш. 37°38′00″ в. д.HЯ",""
"","097","«Третьяковская»
Новокузнецкая (с 03.01.1971 до 11.06.1983)","3 января 1971","","−46","пилонная
глубокого заложения
трёхсводчатая","55°44′28″ с. ш. 37°37′39″ в. д.HЯ",""
"","098","«Октябрьская»","13 октября 1962","","−50","пилонная
глубокого заложения
трёхсводчатая","55°43′50″ с. ш. 37°36′40″ в. д.HЯ",""
"","099","«Шаболовская»","5 ноября 1980","","−46,5","пилонная
глубокого заложения
трёхсводчатая","55°43′11″ с. ш. 37°36′30″ в. д.HЯ",""
"","100","«Ленинский проспект»","13 октября 1962","","−16","колонная
мелкого заложения
трёхпролётная","55°42′28″ с. ш. 37°35′10″ в. д.HЯ",""
"","101","«Академическая»","13 октября 1962","","−8,5","колонная
мелкого заложения
трёхпролётная","55°41′16″ с. ш. 37°34′24″ в. д.HЯ",""
"","102","«Профсоюзная»","13 октября 1962","","−7","колонная
мелкого заложения
трёхпролётная","55°40′41″ с. ш. 37°33′46″ в. д.HЯ",""
"","103","«Новые Черёмушки»","13 октября 1962","","−7","колонная
мелкого заложения
трёхпролётная","55°40′13″ с. ш. 37°33′16″ в. д.HЯ",""
"","104","«Калужская»","12 августа 1974","","−10","колонная
мелкого заложения
трёхпролётная","55°39′26″ с. ш. 37°32′26″ в. д.HЯ",""
"","105","«Беляево»","12 августа 1974","","−12","колонная
мелкого заложения
трёхпролётная","55°38′34″ с. ш. 37°31′33″ в. д.HЯ",""
"","106","«Коньково»","6 ноября 1987","","−8","односводчатая
мелкого заложения","55°38′00″ с. ш. 37°31′08″ в. д.HЯ",""
"","107","«Тёплый Стан»","6 ноября 1987","","−8","колонная
мелкого заложения
трёхпролётная","55°37′09″ с. ш. 37°30′30″ в. д.HЯ",""
"","108","«Ясенево»","17 января 1990","","−8","колонная
мелкого заложения
трёхпролётная","55°36′23″ с. ш. 37°32′00″ в. д.HЯ",""
"","109","«Новоясеневская»
Битцевский парк (с 17.01.1990 до 01.06.2009)","17 января 1990","","−7","колонная
мелкого заложения
трёхпролётная","55°36′04″ с. ш. 37°33′15″ в. д.HЯ",""
"","110","«Планерная»","30 декабря 1975","","−6","колонная
мелкого заложения
трёхпролётная","55°51′39″ с. ш. 37°26′11″ в. д.HЯ",""
"","111","«Сходненская»","30 декабря 1975","","−6","односводчатая
мелкого заложения","55°51′02″ с. ш. 37°26′23″ в. д.HЯ",""
"","112","«Тушинская»","30 декабря 1975","","−10,5","колонная
мелкого заложения
трёхпролётная","55°49′36″ с. ш. 37°26′12″ в. д.HЯ",""
"","203","«Спартак»","27 августа 2014","","−10","колонная
мелкого заложения
трёхпролётная","55°49′06″ с. ш. 37°26′09″ в. д.HЯ",""
"","113","«Щукинская»","30 декабря 1975","","−13","колонная
мелкого заложения
трёхпролётная","55°48′31″ с. ш. 37°27′51″ в. д.HЯ",""
"","114","«Октябрьское Поле»","30 декабря 1972","","−9","колонная
мелкого заложения
трёхпролётная","55°47′37″ с. ш. 37°29′37″ в. д.HЯ",""
"","115","«Полежаевская»","30 декабря 1972","","−10","колонная
мелкого заложения
трёхпролётная","55°46′39″ с. ш. 37°31′09″ в. д.HЯ",""
"","116","«Беговая»","30 декабря 1972","","−9","колонная
мелкого заложения
трёхпролётная","55°46′26″ с. ш. 37°32′48″ в. д.HЯ",""
"","117","«Улица 1905 года»","30 декабря 1972","","−11","колонная
мелкого заложения
трёхпролётная","55°45′54″ с. ш. 37°33′41″ в. д.HЯ",""
"","118","«Баррикадная»","30 декабря 1972","","−30","пилонная
глубокого заложения
трёхсводчатая","55°45′40″ с. ш. 37°34′46″ в. д.HЯ",""
"","119","«Пушкинская»","17 декабря 1975","","−51","колонная
глубокого заложения
трёхсводчатая","55°45′54″ с. ш. 37°36′28″ в. д.HЯ",""
"","120","«Кузнецкий Мост»","17 декабря 1975","","−39,5","колонная
глубокого заложения
трёхсводчатая","55°45′38″ с. ш. 37°37′33″ в. д.HЯ",""
"","121","«Китай-город»
Площадь Ногина (с 03.01.1971 до 05.11.1990)","3 января 1971","","−29","колонная
глубокого заложения
трёхсводчатая","55°45′19″ с. ш. 37°38′00″ в. д.HЯ",""
"","122","«Таганская»","31 декабря 1966","","−36","пилонная
глубокого заложения
трёхсводчатая","55°44′25″ с. ш. 37°39′08″ в. д.HЯ",""
"","123","«Пролетарская»","31 декабря 1966","","−9","колонная
мелкого заложения
трёхпролётная","55°43′55″ с. ш. 37°39′57″ в. д.HЯ",""
"","124","«Волгоградский проспект»","31 декабря 1966","","−8","колонная
мелкого заложения
трёхпролётная","55°43′31″ с. ш. 37°41′13″ в. д.HЯ",""
"","125","«Текстильщики»","31 декабря 1966","","−13","колонная
мелкого заложения
трёхпролётная","55°42′32″ с. ш. 37°43′54″ в. д.HЯ",""
"","126","«Кузьминки»","31 декабря 1966","","−8","колонная
мелкого заложения
трёхпролётная","55°42′20″ с. ш. 37°45′56″ в. д.HЯ",""
"","127","«Рязанский проспект»","31 декабря 1966","","−6","колонная
мелкого заложения
трёхпролётная","55°43′01″ с. ш. 37°47′36″ в. д.HЯ",""
"","128","«Выхино»
Ждановская (с 31.12.1966 до 13.01.1989)","31 декабря 1966","","0","наземная, открытая","55°42′56″ с. ш. 37°49′05″ в. д.HЯ",""
"","204","«Лермонтовский проспект»","9 ноября 2013","","−12","односводчатая
мелкого заложения","55°42′05″ с. ш. 37°51′09″ в. д.HЯ",""
"","205","«Жулебино»","9 ноября 2013","","−15","колонная
мелкого заложения
двухпролётная","55°41′08″ с. ш. 37°51′23″ в. д.HЯ",""
"","206","«Котельники»","21 сентября 2015","","−15","колонная
мелкого заложения
двухпролётная","55°40′27″ с. ш. 37°51′30″ в. д.HЯ",""
"","136","«Третьяковская»","25 января 1986","","−46","пилонная
глубокого заложения
трёхсводчатая","55°44′28″ с. ш. 37°37′39″ в. д.HЯ",""
"","135","«Марксистская»","30 декабря 1979","","−60","колонная
глубокого заложения
трёхсводчатая","55°44′28″ с. ш. 37°39′15″ в. д.HЯ",""
"","134","«Площадь Ильича»","30 декабря 1979","","−46","пилонная
глубокого заложения
трёхсводчатая","55°44′50″ с. ш. 37°40′57″ в. д.HЯ",""
"","133","«Авиамоторная»","30 декабря 1979","","−53","колонная
глубокого заложения
трёхсводчатая","55°45′09″ с. ш. 37°43′09″ в. д.HЯ",""
"","132","«Шоссе Энтузиастов»","30 декабря 1979","","−53","пилонная
глубокого заложения
трёхсводчатая","55°45′27″ с. ш. 37°45′00″ в. д.HЯ",""
"","131","«Перово»","30 декабря 1979","","−9","односводчатая
мелкого заложения","55°45′04″ с. ш. 37°47′12″ в. д.HЯ",""
"","130","«Новогиреево»","30 декабря 1979","","−9","колонная
мелкого заложения
трёхпролётная","55°45′06″ с. ш. 37°49′00″ в. д.HЯ",""
"","129","«Новокосино»","30 августа 2012","","−9","односводчатая
мелкого заложения","55°44′42″ с. ш. 37°51′50″ в. д.HЯ",""
"","217","«Деловой центр»","31 января 2014","","−25","колонная
мелкого заложения
трёхпролётная","55°44′57″ с. ш. 37°32′22″ в. д.HЯ",""
"","218","«Парк Победы»","31 января 2014","","−73,6[5]","пилонная
глубокого заложения
трёхсводчатая","55°44′10″ с. ш. 37°31′06″ в. д.HЯ",""
"","223","«Минская»","16 марта 2017","","−15","колонная
мелкого заложения
двухпролётная","55°43′29″ с. ш. 37°29′48″ в. д.HЯ",""
"","224","«Ломоносовский проспект»","16 марта 2017","","−15","колонная
мелкого заложения
двухпролётная","55°42′26″ с. ш. 37°30′58″ в. д.HЯ",""
"","225","«Раменки»","16 марта 2017","","−15","колонная
мелкого заложения
двухпролётная","55°41′51″ с. ш. 37°29′55″ в. д.HЯ",""
"","263","«Мичуринский проспект»","30 августа 2018","","−13","колонная
мелкого заложения
трёхпролётная","55°41′22″ с. ш. 37°28′59″ в. д.HЯ",""
"","301","«Озёрная»","30 августа 2018","","−25","колонная
мелкого заложения
двухпролётная","55°40′14″ с. ш. 37°26′54″ в. д.HЯ",""
"","302","«Говорово»","30 августа 2018","","−14","колонная
мелкого заложения
двухпролётная","55°39′34″ с. ш. 37°25′02″ в. д.HЯ",""
"","266","«Солнцево»","30 августа 2018","","−13","колонная
мелкого заложения
двухпролётная","55°38′58″ с. ш. 37°23′28″ в. д.HЯ",""
"","267","«Боровское шоссе»","30 августа 2018","","−20","колонная
мелкого заложения
двухпролётная","55°38′52″ с. ш. 37°22′13″ в. д.HЯ",""
"","268","«Новопеределкино»","30 августа 2018","","−16","колонная
мелкого заложения
двухпролётная","55°38′23″ с. ш. 37°21′19″ в. д.HЯ",""
"","269","«Рассказовка»","30 августа 2018","","−12","колонная
мелкого заложения
двухпролётная","55°38′03″ с. ш. 37°20′07″ в. д.HЯ",""
"","328","«Пыхтино»","6 сентября 2023","","0","наземная
крытая
полуподземная","55°37′30″ с. ш. 37°17′53″ в. д.HЯ",""
"","325","«Аэропорт Внуково»","6 сентября 2023","","0","колонная
мелкого заложения
двухпролётная","55°36′26″ с. ш. 37°17′16″ в. д.HЯ",""
"","137","«Алтуфьево»","15 июля 1994","","−9","односводчатая
мелкого заложения","55°53′53″ с. ш. 37°35′13″ в. д.HЯ",""
"","138","«Бибирево»","31 декабря 1992","","−9,5","колонная
мелкого заложения
трёхпролётная","55°53′02″ с. ш. 37°36′12″ в. д.HЯ",""
"","139","«Отрадное»","7 марта 1991","","−9","односводчатая
мелкого заложения","55°51′48″ с. ш. 37°36′17″ в. д.HЯ",""
"","140","«Владыкино»","7 марта 1991","","−10,5","колонная
мелкого заложения
трёхпролётная","55°50′50″ с. ш. 37°35′24″ в. д.HЯ",""
"","141","«Петровско-Разумовская»","7 марта 1991","","−61","колонная
глубокого заложения
трёхсводчатая

колонно-стеновая
глубокого заложения
трёхсводчатая","55°50′06″ с. ш. 37°34′28″ в. д.HЯ",""
"","142","«Тимирязевская»","7 марта 1991","","−63,5","односводчатая
глубокого заложения","55°49′03″ с. ш. 37°34′35″ в. д.HЯ",""
"","143","«Дмитровская»","7 марта 1991","","−59","пилонная
глубокого заложения
трёхсводчатая","55°48′25″ с. ш. 37°34′54″ в. д.HЯ",""
"","144","«Савёловская»","31 декабря 1988","","−52","пилонная
глубокого заложения
трёхсводчатая","55°47′34″ с. ш. 37°35′19″ в. д.HЯ",""
"","145","«Менделеевская»","31 декабря 1988","","−48,5","колонная
глубокого заложения
трёхсводчатая","55°46′52″ с. ш. 37°36′04″ в. д.HЯ",""
"","146","«Цветной бульвар»","31 декабря 1988","","−50","пилонная
глубокого заложения
трёхсводчатая","55°46′15″ с. ш. 37°37′07″ в. д.HЯ",""
"","147","«Чеховская»","31 декабря 1987","","−62","пилонная
глубокого заложения
трёхсводчатая","55°45′53″ с. ш. 37°36′33″ в. д.HЯ",""
"","148","«Боровицкая»","23 января 1986","[9]","−46,5","пилонная
глубокого заложения
трёхсводчатая","55°45′04″ с. ш. 37°36′26″ в. д.HЯ",""
"","149","«Полянка»","23 января 1986","","−36,5","колонная
глубокого заложения
трёхсводчатая","55°44′16″ с. ш. 37°37′05″ в. д.HЯ",""
"","150","«Серпуховская»","8 ноября 1983","","−43","пилонная
глубокого заложения
трёхсводчатая","55°43′41″ с. ш. 37°37′29″ в. д.HЯ",""
"","151","«Тульская»","8 ноября 1983","","−9,5","односводчатая
мелкого заложения","55°42′31″ с. ш. 37°37′22″ в. д.HЯ",""
"","152","«Нагатинская»","8 ноября 1983","","−13,5","колонная
мелкого заложения
трёхпролётная","55°40′59″ с. ш. 37°37′21″ в. д.HЯ",""
"","153","«Нагорная»","8 ноября 1983","","−9","колонная
мелкого заложения
трёхпролётная","55°40′21″ с. ш. 37°36′37″ в. д.HЯ",""
"","154","«Нахимовский проспект»","8 ноября 1983","","−9,5","односводчатая
мелкого заложения","55°39′46″ с. ш. 37°36′20″ в. д.HЯ",""
"","155","«Севастопольская»","8 ноября 1983","","−13","колонная
мелкого заложения
трёхпролётная","55°39′09″ с. ш. 37°35′54″ в. д.HЯ",""
"","156","«Чертановская»","8 ноября 1983","","−10,5","колонная
мелкого заложения
трёхпролётная","55°38′26″ с. ш. 37°36′24″ в. д.HЯ",""
"","157","«Южная»","8 ноября 1983","","−10","односводчатая
мелкого заложения","55°37′21″ с. ш. 37°36′32″ в. д.HЯ",""
"","158","«Пражская»","6 ноября 1985","","−9,5","колонная
мелкого заложения
трёхпролётная","55°36′45″ с. ш. 37°36′16″ в. д.HЯ",""
"","159","«Улица Академика Янгеля»","31 августа 2000","","−8","односводчатая
мелкого заложения","55°35′42″ с. ш. 37°36′01″ в. д.HЯ",""
"","160","«Аннино»","12 декабря 2001","","−8","односводчатая
мелкого заложения","55°34′58″ с. ш. 37°35′48″ в. д.HЯ",""
"","161","«Бульвар Дмитрия Донского»","26 декабря 2002","","−10","колонная
мелкого заложения
трёхпролётная","55°34′09″ с. ш. 37°34′37″ в. д.HЯ",""
"","327","«Физтех»","7 сентября 2023","","","односводчатая
мелкого заложения","55°55′18″ с. ш. 37°32′47″ в. д.HЯ",""
"","214","«Лианозово»","7 сентября 2023","","","колонная
мелкого заложения
трёхпролётная","55°53′56″ с. ш. 37°32′41″ в. д.HЯ",""
"","326","«Яхромская»","7 сентября 2023","","","колонная
мелкого заложения
трёхпролётная","55°52′48″ с. ш. 37°32′43″ в. д.HЯ",""
"","212","«Селигерская»","22 марта 2018","","−20","колонная
мелкого заложения
трёхпролётная","55°51′59″ с. ш. 37°32′50″ в. д.HЯ",""
"","211","«Верхние Лихоборы»","22 марта 2018","","−65","пилонная
глубокого заложения
трёхсводчатая","55°51′22″ с. ш. 37°33′40″ в. д.HЯ",""
"","210","«Окружная»","22 марта 2018","","−65","пилонная
глубокого заложения
трёхсводчатая","55°50′46″ с. ш. 37°34′26″ в. д.HЯ",""
